TIMESTAMP_START,TART,TA_F,VPD_F,PA_F,WS_F,NETRAD,TS_F_MDS_1
2.00301E+11,1330,14.33,11.172,98.4,1.574,514.1,10.91
2.00301E+11,1400,14.7,11.192,98.4,1.373,462.5,11.04
2.00301E+11,1430,14.91,11.256,98.3,1.303,405.2,11.16
2.00301E+11,1500,15.28,11.465,98.3,1.135,334.8,11.28
2.00301E+11,1530,15.58,12.1,98.3,1.027,251.6,11.4
2.00301E+11,1600,15.3,11.229,98.3,1.195,163.6,11.5
2.00301E+11,1630,15.64,11.274,98.3,0.444,68.94,11.57
2.00301E+11,1700,15.44,10.802,98.3,0.374,-20.81,11.62
2.00301E+11,1730,14.21,9.326,98.3,1.25,-87.7,11.66
2.00301E+11,1800,13.95,9.619,98.3,1.486,-110.7,11.66
2.00301E+11,0800,12.23,8.083,98.4,0.412,-16.27,10.93
2.00301E+11,0830,12.57,7.992,98.5,0.626,64.97,10.91
2.00301E+11,0900,13.29,8.717,98.5,0.973,164,10.91
2.00301E+11,0930,13.32,8.355,98.5,1.346,256.9,10.92
2.00301E+11,1000,13.68,9.084,98.5,1.108,338.6,10.97
2.00301E+11,1030,13.97,10.075,98.5,1.531,407.4,11.03
2.00301E+11,1100,14.06,10.443,98.5,1.796,465,11.09
2.00301E+11,1130,14.59,10.755,98.4,1.531,505.6,11.19
2.00301E+11,1200,15.5,11.394,98.4,1.179,535.3,11.26
2.00301E+11,1230,16.16,11.914,98.3,1.403,547.6,11.34
2.00301E+11,1300,16.37,12.496,98.2,1.501,537.7,11.44
2.00301E+11,1330,16.88,12.948,98.2,1.362,507.4,11.56
2.00301E+11,1400,16.77,13.305,98.1,1.447,469,11.71
2.00301E+11,1430,17.05,13.389,98.1,1.324,409.1,11.84
2.00301E+11,1500,17.34,13.75,98.1,1.091,337.8,11.98
2.00301E+11,1530,17.33,13.674,98.1,0.937,250.2,12.12
2.00301E+11,1600,17.43,13.657,98.1,0.661,160.8,12.23
2.00301E+11,1630,17.15,12.658,98.1,0.539,66.91,12.3
2.00301E+11,1700,16.54,11.623,98.1,0.545,-16.13,12.35
2.00301E+11,1730,15.67,10.596,98.1,0.606,-80.1,12.38
2.00301E+11,1800,14.81,10.269,98.2,0.789,-105.1,12.39
2.00301E+11,0800,13.86,9.127,98.5,0.969,-16.78,11.7
2.00301E+11,0830,14.13,9.223,98.5,0.69,62.95,11.69
2.00301E+11,0900,14.79,9.487,98.6,0.9,153.4,11.69
2.00301E+11,0930,15.3,10.299,98.6,0.878,240.4,11.71
2.00301E+11,1000,15.75,11.123,98.6,1.356,326.9,11.75
2.00301E+11,1030,15.81,11.424,98.6,1.731,387.3,11.81
2.00301E+11,1100,16.19,11.427,98.5,1.552,445.7,11.88
2.00301E+11,1130,16.55,11.969,98.5,1.66,495.8,11.98
2.00301E+11,1200,16.25,12.094,98.4,2.438,514.3,12.06
